Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Electronics,"https://images-na.ssl-images-amazon.com/images/I/316iIKOVz7L._AC_UL600_SR600,400_.png",Blink Subscription Plus Plan with monthly auto-renewal,N/A,N/A,4.4,263845,704.03,https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_electronics_d_sccl_1/139-7049993-9711931?psc=1
Electronics,"https://images-na.ssl-images-amazon.com/images/I/71rUQOC9BwL._AC_UL600_SR600,400_.jpg","Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming","Stream in Full HD - Enjoy fast, affordable streaming that’s made for HD TVs, and control it all with the Alexa Voice Remote.",Amazon Fire TV Store,4.7,44417,"1,173.77",https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_electronics_d_sccl_3/139-7049993-9711931?psc=1
Electronics,"https://images-na.ssl-images-amazon.com/images/I/61bMNCeAUAL._AC_UL600_SR600,400_.jpg","Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone",Keep track of and find your items alongside friends and devices in the Find My app,Apple Store,4.7,33810,"4,555.34",https://www.amazon.com/Apple-MX542LL-A-AirTag-Pack/dp/B0D54JZTHY/ref=zg_bs_g_electronics_d_sccl_4/139-7049993-9711931?psc=1
Electronics,"https://images-na.ssl-images-amazon.com/images/I/61iBtxCUabL._AC_UL600_SR600,400_.jpg","Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging","REBUILT FOR COMFORT — AirPods 4 have been redesigned for exceptional all-day comfort and greater stability. With a refined contour, shorter stem, and quick-press controls for music or calls.",Apple Store,4.5,28275,"5,442.57",https://www.amazon.com/Apple-Bluetooth-Headphones-Personalized-Effortless/dp/B0DGHMNQ5Z/ref=zg_bs_g_electronics_d_sccl_5/139-7049993-9711931?psc=1
Electronics,"https://images-na.ssl-images-amazon.com/images/I/513OSdW4elL._AC_UL600_SR600,400_.jpg","Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume","SUPERIOR COMFORT — Unlike traditional circular ear buds, the design of EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other ear bud–style headphones.",Apple Store,4.6,18761,901.91,https://www.amazon.com/Apple-EarPods-Headphones-Built-Control/dp/B0DCH8VDXF/ref=zg_bs_g_electronics_d_sccl_2/139-7049993-9711931?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71SStjOCNcL._AC_UL600_SR600,400_.jpg","Hanes EcoSmart Hoodie, Midweight Fleece, Pullover Hooded Sweatshirt for Men","Add comfort and warmth to your casual wardrobe with a Hanes EcoSmart® men's hoodie. Super soft and cozy, this hooded pullover is made with cotton sourced from American farms for a feel-good finish. Crafted with the Hanes quality you expect, it's made to hold its shape thanks to double-needle stitchi",Hanes Store,4.5,161189,512.61,https://www.amazon.com/Hanes-Pullover-EcoSmart-Fleece-Hoodie/dp/B00JUM3G6E/ref=zg_bs_g_7147441011_d_sccl_1/140-4701356-6644747?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/81D+bCgn8hL._AC_UL600_SR600,400_.jpg","Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack","Hanes® EcoSmart® men's fleece sweatshirt is sure to become your new go-to wardrobe staple. Soft and plush, this cozy pullover sweatshirt is made from a midweight blend featuring cotton sourced from American farms. A classic crewneck style, this pullover is sturdy and made to keep its plush comfort f",Hanes Store,4.6,120159,492.64,https://www.amazon.com/Hanes-EcoSmart-Fleece-Sweatshirt-Stonewashed/dp/B072QRN7HR/ref=zg_bs_g_7147441011_d_sccl_2/140-4701356-6644747?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71QyRZzbaUL._AC_UL600_SR600,400_.jpg","Hanes, Ecosmart Fleece Full-zip Hoodie for Men, Hooded Sweatshirt","Hanes® EcoSmart® fleece is your new go-to wardrobe staple. Soft and plush, this cozy zip-up fleece hoodie is made of a midweight cotton/poly fleece blend that features cotton sourced from American farms. The fleece in this classic zip-front hooded jacket is incredibly soft, thick, and made to keep i",Hanes Store,4.5,82523,.,https://www.amazon.com/Hanes-Full-zip-Eco-smart-athletic-sweatshirts/dp/B00JUM4CT4/ref=zg_bs_g_7147441011_d_sccl_4/140-4701356-6644747?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/71KX+SabYML._AC_UL600_SR600,400_.jpg",Amazon Essentials Men's Fleece Open Bottom Sweatpant (Available in Big & Tall),"An Amazon Brand - A relaxed straight leg and elastic, drawstring waistband bring lounge-ready style to this classic casual pant",Amazon Essentials Store,4.4,56217,757.46,https://www.amazon.com/Amazon-Essentials-Fleece-Sweatpants-Black/dp/B075JW7CCH/ref=zg_bs_g_7147441011_d_sccl_3/140-4701356-6644747?psc=1
Men Fashion,"https://images-na.ssl-images-amazon.com/images/I/710ODtLdIJL._AC_UL600_SR600,400_.jpg","Gildan unisex-adult Fleece Crewneck Sweatshirt, Style G18000, Multipack","When soft comfort is what you seek, the Gildan Adult Fleece Crewneck Sweatshirt is what you need. Made from a 50% U.S. Cotton/50% Polyester blend, this warm 8.0 oz sq/yd classic fit style looks great and makes a great canvas for decorating. Available in 18 colors in SM - 3XL.",Gildan Store,4.6,46850,790.34,https://www.amazon.com/Gildan-Heavy-Blend-Crewneck-Sweatshirt/dp/B01M1MFI11/ref=zg_bs_g_7147441011_d_sccl_5/140-4701356-6644747?psc=1
